,T1-T2,average time per event for ideal,clean #,input length,total online time for BME(T1),total online time for ideal,total time clean(T2)
0,1.04141235352e-05,9.91821289063e-07,4,10,3.268241882324219e-05,9.91821289063e-06,2.226829528808594e-05
0,0.000954675674438,8.9549779892e-07,994,1000,0.0057067680358886715,0.00089549779892,0.004752092361450196
0,0.00195807218552,9.16682481766e-07,1994,2000,0.011698193550109863,0.00183336496353,0.009740121364593506
0,0.00291091442108,9.14016564687e-07,2994,3000,0.017383313179016112,0.00274204969406,0.01447239875793457
0,0.00388778448105,9.1448366642e-07,3994,4000,0.023264799118041992,0.00365793466568,0.019377014636993407
0,0.00484791994095,9.13700580597e-07,4994,5000,0.029076881408691406,0.00456850290298,0.02422896146774292
0,0.00578066110611,9.09446080526e-07,5994,6000,0.034626305103302,0.00545667648315,0.02884564399719238
0,0.00677492380142,9.19306618827e-07,6994,7000,0.04071277856826782,0.00643514633179,0.0339378547668457
0,0.00781689882278,9.21976268291e-07,7994,8000,0.046692547798156736,0.00737581014633,0.038875648975372316
0,0.00868857145309,9.19989744822e-07,8994,9000,0.052315828800201414,0.0082799077034,0.043627257347106936
0,0.00971742868423,9.1979265213e-07,9994,10000,0.058323137760162354,0.0091979265213,0.04860570907592773
