,T1-T2,average time per event for ideal,clean #,input length,total online time for BME(T1),total online time for ideal,total time clean(T2)
0,9.42468643188e-06,1.00350379944e-06,0,10,9.424686431884766e-06,1.00350379944e-05,0.0
0,0.000894861221313,8.89966487885e-07,988,1000,0.005887460708618164,0.000889966487885,0.004992599487304687
0,0.0018928360939,9.17754173279e-07,1988,2000,0.01213022232055664,0.00183550834656,0.010237386226654053
0,0.00285954713821,9.2976252238e-07,2988,3000,0.018644771575927734,0.00278928756714,0.015785224437713623
0,0.0037225651741,9.23934578896e-07,3988,4000,0.024652931690216064,0.00369573831558,0.020930366516113283
0,0.004685151577,9.26525592804e-07,4988,5000,0.030784142017364503,0.00463262796402,0.026098990440368654
0,0.00564453125,9.29689407349e-07,5988,6000,0.03703567028045654,0.00557813644409,0.031391139030456545
0,0.00655560016632,9.26051139832e-07,6988,7000,0.04300781488418579,0.00648235797882,0.03645221471786499
0,0.00751126289368,9.26568508148e-07,7988,8000,0.04922123908996582,0.00741254806519,0.041709976196289064
0,0.00833252668381,9.22040674422e-07,8988,9000,0.055107543468475344,0.00829836606979,0.04677501678466797
0,0.00931674003601,9.22764062881e-07,9988,10000,0.06139748811721802,0.00922764062881,0.05208074808120727
