,T1-T2,average time per event for ideal,clean #,input length,total online time for BME(T1),total online time for ideal,total time clean(T2)
0,1.39212608337e-05,1.46317481995e-06,0,10,1.3921260833740235e-05,1.46317481995e-05,0.0
0,0.00141381025314,1.32595300674e-06,988,1000,0.00748532772064209,0.00132595300674,0.0060715174674987795
0,0.00277187108994,1.27663254738e-06,1988,2000,0.014818944931030274,0.00255326509476,0.01204707384109497
0,0.00421936273575,1.30934794744e-06,2988,3000,0.022636241912841797,0.00392804384232,0.018416879177093507
0,0.00555889368057,1.3020837307e-06,3988,4000,0.02984428882598877,0.00520833492279,0.02428539514541626
0,0.00698755025864,1.30735731125e-06,4988,5000,0.03768330574035644,0.00653678655624,0.03069575548171997
0,0.00824351549149,1.29332661629e-06,5988,6000,0.044188122749328616,0.00775995969772,0.035944607257843014
0,0.00952510595322,1.30187034607e-06,6988,7000,0.051701123714447024,0.00911309242249,0.04217601776123047
0,0.0110146212578,1.30760192871e-06,7988,8000,0.05987824201583862,0.0104608154297,0.04886362075805664
0,0.012410671711,1.30952305264e-06,8988,9000,0.06696472406387328,0.0117857074738,0.05455405235290527
0,0.0137802243233,1.3012444973e-06,9988,10000,0.07432588338851928,0.013012444973,0.06054565906524658
