,T1-T2,average time per event for ideal,clean #,input length,total online time for BME(T1),total online time for ideal,total time clean(T2)
0,9.7131729126e-06,9.69886779785e-07,0,10,9.713172912597657e-06,9.69886779785e-06,0.0
0,0.000924937725067,8.6256980896e-07,495,1000,0.012860972881317139,0.00086256980896,0.01193603515625
0,0.00185494661331,8.50034952164e-07,995,2000,0.02597264766693115,0.00170006990433,0.024117701053619385
0,0.00276088953018,8.49430561066e-07,1495,3000,0.03879925012588501,0.0025482916832,0.036038360595703124
0,0.00366701841354,8.47913622856e-07,1995,4000,0.05174780607223511,0.00339165449142,0.04808078765869141
0,0.00457082509995,8.47777366638e-07,2495,5000,0.06433787584304809,0.00423888683319,0.059767050743103026
0,0.00546645402908,8.43811829885e-07,2995,6000,0.07750745296478272,0.00506287097931,0.07204099893569946
0,0.00640695810318,8.49009241377e-07,3495,7000,0.09079286336898804,0.00594306468964,0.08438590526580811
0,0.00726102113724,8.45664441586e-07,3995,8000,0.10296816825866699,0.00676531553268,0.09570714712142944
0,0.00826788663864,8.50745836894e-07,4495,9000,0.1166155743598938,0.00765671253204,0.10834768772125244
0,0.00927057027817,8.48492622375e-07,4995,10000,0.13006700754165648,0.00848492622375,0.12079643726348877
