,T1-T2,average time per event for ideal,clean #,input length,total online time for BME(T1),total online time for ideal,total time clean(T2)
0,5.5193901062e-06,6.5803527832e-07,0,10,5.5193901062011715e-06,6.5803527832e-06,0
0,0.000486960411072,6.05983734131e-07,0,1000,0.00048696041107177735,0.000605983734131,0
0,0.000967988967896,6.0715675354e-07,0,2000,0.0009679889678955078,0.00121431350708,0
0,0.00147855043411,6.15515708923e-07,0,3000,0.0014785504341125488,0.00184654712677,0
0,0.00196721076965,6.20654821396e-07,0,4000,0.0019672107696533203,0.00248261928558,0
0,0.00255656242371,6.43489360809e-07,0,5000,0.0025565624237060547,0.00321744680405,0
0,0.00297862291336,6.2282204628e-07,0,6000,0.0029786229133605957,0.00373693227768,0
0,0.00347394943237,6.23715945653e-07,0,7000,0.0034739494323730467,0.00436601161957,0
0,0.00409937381744,6.44376575947e-07,0,8000,0.004099373817443848,0.00515501260757,0
0,0.00454091787338,6.33477105035e-07,0,9000,0.004540917873382569,0.00570129394531,0
0,0.0049583029747,6.26286268234e-07,0,10000,0.004958302974700928,0.00626286268234,0
